211 100 000 => valid, type: MOBILE, FAILED
649 900 000 => valid, type: PAGER, FAILED
700 000 000 => valid, type: PREMIUM_RATE, FAILED
700 100 000 => valid, type: PREMIUM_RATE, FAILED
700 200 000 => valid, type: PREMIUM_RATE, FAILED
700 300 000 => valid, type: PREMIUM_RATE, FAILED
700 400 000 => valid, type: PREMIUM_RATE, FAILED
700 500 000 => valid, type: PREMIUM_RATE, FAILED
700 600 000 => valid, type: PREMIUM_RATE, FAILED
700 700 000 => valid, type: PREMIUM_RATE, FAILED
700 800 000 => valid, type: PREMIUM_RATE, FAILED
700 900 000 => valid, type: PREMIUM_RATE, FAILED
701 000 000 => valid, type: PREMIUM_RATE, FAILED
701 100 000 => valid, type: PREMIUM_RATE, FAILED
701 200 000 => valid, type: PREMIUM_RATE, FAILED
701 300 000 => valid, type: PREMIUM_RATE, FAILED
701 400 000 => valid, type: PREMIUM_RATE, FAILED
701 500 000 => valid, type: PREMIUM_RATE, FAILED
701 600 000 => valid, type: PREMIUM_RATE, FAILED
701 700 000 => valid, type: PREMIUM_RATE, FAILED
701 800 000 => valid, type: PREMIUM_RATE, FAILED
701 900 000 => valid, type: PREMIUM_RATE, FAILED
703 000 000 => valid, type: PREMIUM_RATE, FAILED
703 100 000 => valid, type: PREMIUM_RATE, FAILED
703 200 000 => valid, type: PREMIUM_RATE, FAILED
703 300 000 => valid, type: PREMIUM_RATE, FAILED
703 400 000 => valid, type: PREMIUM_RATE, FAILED
703 500 000 => valid, type: PREMIUM_RATE, FAILED
703 600 000 => valid, type: PREMIUM_RATE, FAILED
703 700 000 => valid, type: PREMIUM_RATE, FAILED
703 800 000 => valid, type: PREMIUM_RATE, FAILED
703 900 000 => valid, type: PREMIUM_RATE, FAILED
704 000 000 => valid, type: PREMIUM_RATE, FAILED
704 100 000 => valid, type: PREMIUM_RATE, FAILED
704 200 000 => valid, type: PREMIUM_RATE, FAILED
704 300 000 => valid, type: PREMIUM_RATE, FAILED
704 400 000 => valid, type: PREMIUM_RATE, FAILED
704 500 000 => valid, type: PREMIUM_RATE, FAILED
704 600 000 => valid, type: PREMIUM_RATE, FAILED
704 700 000 => valid, type: PREMIUM_RATE, FAILED
704 800 000 => valid, type: PREMIUM_RATE, FAILED
704 900 000 => valid, type: PREMIUM_RATE, FAILED
706 000 000 => valid, type: PREMIUM_RATE, FAILED
706 100 000 => valid, type: PREMIUM_RATE, FAILED
706 200 000 => valid, type: PREMIUM_RATE, FAILED
706 300 000 => valid, type: PREMIUM_RATE, FAILED
706 400 000 => valid, type: PREMIUM_RATE, FAILED
706 500 000 => valid, type: PREMIUM_RATE, FAILED
706 600 000 => valid, type: PREMIUM_RATE, FAILED
706 700 000 => valid, type: PREMIUM_RATE, FAILED
706 800 000 => valid, type: PREMIUM_RATE, FAILED
706 900 000 => valid, type: PREMIUM_RATE, FAILED
707 000 000 => valid, type: PREMIUM_RATE, FAILED
707 100 000 => valid, type: PREMIUM_RATE, FAILED
707 200 000 => valid, type: PREMIUM_RATE, FAILED
707 300 000 => valid, type: PREMIUM_RATE, FAILED
707 400 000 => valid, type: PREMIUM_RATE, FAILED
707 500 000 => valid, type: PREMIUM_RATE, FAILED
707 600 000 => valid, type: PREMIUM_RATE, FAILED
707 700 000 => valid, type: PREMIUM_RATE, FAILED
707 800 000 => valid, type: PREMIUM_RATE, FAILED
707 900 000 => valid, type: PREMIUM_RATE, FAILED
708 000 000 => valid, type: PREMIUM_RATE, FAILED
708 100 000 => valid, type: PREMIUM_RATE, FAILED
708 200 000 => valid, type: PREMIUM_RATE, FAILED
708 300 000 => valid, type: PREMIUM_RATE, FAILED
708 400 000 => valid, type: PREMIUM_RATE, FAILED
708 500 000 => valid, type: PREMIUM_RATE, FAILED
708 600 000 => valid, type: PREMIUM_RATE, FAILED
708 700 000 => valid, type: PREMIUM_RATE, FAILED
708 800 000 => valid, type: PREMIUM_RATE, FAILED
708 900 000 => valid, type: PREMIUM_RATE, FAILED
800 000 000 => valid, type: TOLL_FREE, FAILED
800 100 000 => valid, type: TOLL_FREE, FAILED
800 200 000 => valid, type: TOLL_FREE, FAILED
800 300 000 => valid, type: TOLL_FREE, FAILED
800 400 000 => valid, type: TOLL_FREE, FAILED
800 500 000 => valid, type: TOLL_FREE, FAILED
800 600 000 => valid, type: TOLL_FREE, FAILED
800 700 000 => valid, type: TOLL_FREE, FAILED
800 800 000 => valid, type: TOLL_FREE, FAILED
800 900 000 => valid, type: TOLL_FREE, FAILED
801 000 000 => valid, type: SHARED_COST, FAILED
801 100 000 => valid, type: SHARED_COST, FAILED
801 200 000 => valid, type: SHARED_COST, FAILED
801 300 000 => valid, type: SHARED_COST, FAILED
801 400 000 => valid, type: SHARED_COST, FAILED
801 500 000 => valid, type: SHARED_COST, FAILED
801 600 000 => valid, type: SHARED_COST, FAILED
801 700 000 => valid, type: SHARED_COST, FAILED
801 800 000 => valid, type: SHARED_COST, FAILED
801 900 000 => valid, type: SHARED_COST, FAILED
804 000 000 => valid, type: UAN, FAILED
804 100 000 => valid, type: UAN, FAILED
804 200 000 => valid, type: UAN, FAILED
804 300 000 => valid, type: UAN, FAILED
804 400 000 => valid, type: UAN, FAILED
804 500 000 => valid, type: UAN, FAILED
804 600 000 => valid, type: UAN, FAILED
804 700 000 => valid, type: UAN, FAILED
804 800 000 => valid, type: UAN, FAILED
804 900 000 => valid, type: UAN, FAILED
